x,y
-2.819378022,-2.660731
-2.819378022,-2.636855
-2.819378022,-2.601152
-2.819378022,-2.581888
-2.819378022,-2.500213
-2.819378022,-2.446445
-2.819378022,-2.443056
-2.819378022,-2.422353
-2.819378022,-2.419358
-2.819378022,-2.388711
-2.819378022,-2.36559
-2.819378022,-2.325912
-2.819378022,-2.320234
-2.819378022,-2.283546
-2.819378022,-2.2652
-2.819378022,-2.232709
-2.819378022,-2.227718
-2.819378022,-2.191228
-2.819378022,-2.187812
-2.819378022,-2.165043
-2.819378022,-2.156113
-2.819378022,-2.122594
-2.819378022,-2.111579
-2.819378022,-2.058401
-2.819378022,-2.013714
-2.819378022,-1.993259
-2.819378022,-1.984039
-2.819378022,-1.918949
-2.819378022,-1.917701
-2.819378022,-1.903131
-2.819378022,-1.892882
-2.819378022,-1.857059
-2.819378022,-1.822875
-2.819378022,-1.800205
-2.819378022,-1.784284
-2.819378022,-1.783075
-2.819378022,-1.766727
-2.819378022,-1.763153
-2.819378022,-1.756001
-2.819378022,-1.745391
-2.819378022,-1.734465
-2.819378022,-1.723818
-2.819378022,-1.721874
-2.819378022,-1.697847
-2.819378022,-1.694522
-2.819378022,-1.672338
-2.819378022,-1.668973
-2.819378022,-1.664425
-2.819378022,-1.616159
-2.819378022,-1.608899
-2.819378022,-1.597999
-2.819378022,-1.535392
-2.819378022,-1.507107
-2.819378022,-1.479998
-2.819378022,-1.472612
-2.819378022,-1.427798
-2.819378022,-1.420909
-2.819378022,-1.414822
-2.819378022,-1.361657
-2.819378022,-1.343195
-2.819378022,-1.321483
-2.819378022,-1.289296
-2.819378022,-1.277656
-2.819378022,-1.124153
-2.819378022,-1.064439
-2.819378022,2.351008
-2.819378022,2.383942
-2.819378022,2.384055
-2.819378022,2.404973
-2.819378022,2.674413
-2.819378022,2.8011
-2.819378022,2.842065
-2.819378022,2.85661
-2.819378022,2.874637
-2.819378022,2.974402
-2.819378022,2.98347
-2.819378022,3.007173
-2.819378022,3.013593
-2.819378022,3.040558
-2.819378022,3.198518
-2.819378022,3.212949
-2.819378022,3.224824
-2.819378022,3.268295
-2.819378022,3.280718
-2.819378022,3.29299
-2.819378022,3.299984
-2.819378022,3.332757
-2.819378022,3.339832
-2.819378022,3.358016
-2.819378022,3.385454
-2.819378022,3.397983
-2.819378022,3.408365
-2.819378022,3.420303
-2.819378022,3.434113
-2.658270707,-2.791105
-2.658270707,-2.707387
-2.658270707,-2.682613
-2.658270707,-2.668901
-2.658270707,-2.643754
-2.658270707,-2.621528
-2.658270707,-2.573994
-2.658270707,-2.535547
-2.658270707,-2.511064
-2.658270707,-2.504041
-2.658270707,-2.432821
-2.658270707,-2.41896
-2.658270707,-2.40384
-2.658270707,-2.383997
-2.658270707,-2.377941
-2.658270707,-2.362542
